"Report Date",ZCTA,"Number of Cases","Number of PCR Testing Encounters"
6/20/2020,24572,15,715
6/20/2020,24574,Suppressed*,143
6/20/2020,24577,Suppressed*,185
6/20/2020,24578,Suppressed*,11
6/20/2020,24579,0,16
6/20/2020,24580,Suppressed*,33
6/20/2020,24586,7,208
6/20/2020,24588,Suppressed*,402
6/20/2020,24589,0,99
6/20/2020,24590,15,429
6/20/2020,24592,17,803
6/20/2020,24593,Suppressed*,74
6/20/2020,24594,Suppressed*,62
6/20/2020,24595,0,10
6/20/2020,24597,Suppressed*,55
6/20/2020,24598,Suppressed*,71
6/20/2020,24599,Suppressed*,42
6/20/2020,24601,0,2
6/20/2020,24602,0,14
6/20/2020,24603,Suppressed*,17
6/20/2020,24605,Suppressed*,277
6/20/2020,24606,0,4
6/20/2020,24607,0,3
6/20/2020,24609,Suppressed*,141
6/20/2020,24612,0,4
6/20/2020,24613,0,29
6/20/2020,24614,17,345
6/20/2020,24620,0,31
6/20/2020,24622,0,28
6/20/2020,24628,0,7
6/20/2020,24630,0,141
6/20/2020,24631,0,35
6/20/2020,24634,0,12
6/20/2020,24635,0,24
6/20/2020,24637,Suppressed*,68
6/20/2020,24639,Suppressed*,85
6/20/2020,24641,0,174
6/20/2020,24646,0,15
6/20/2020,24649,0,47
6/20/2020,24651,0,358
6/20/2020,24656,0,61
6/20/2020,24657,0,4
6/20/2020,"Not Reported",1178,3268
6/20/2020,Out-of-State,0,16515
