"Event Date","Health Planning Region","Case Status","Number of Cases","Number of Hospitalizations","Number of Deaths"
05/09/2020,Northwest,Confirmed,107,14,3
05/09/2020,Northwest,Probable,12,0,1
05/09/2020,Southwest,Confirmed,20,1,0
05/10/2020,Central,Confirmed,113,6,3
05/10/2020,Eastern,Confirmed,42,9,3
05/10/2020,Eastern,Probable,1,0,0
05/10/2020,Northern,Confirmed,427,43,20
05/10/2020,Northern,Probable,11,0,0
05/10/2020,Northwest,Confirmed,108,9,3
05/10/2020,Northwest,Probable,12,0,1
05/10/2020,Southwest,Confirmed,17,4,0
05/10/2020,Southwest,Probable,1,0,0
05/11/2020,Central,Confirmed,151,13,5
05/11/2020,Eastern,Confirmed,71,7,4
05/11/2020,Eastern,Probable,4,0,0
05/11/2020,Northern,Confirmed,683,68,28
05/11/2020,Northern,Probable,20,1,1
05/11/2020,Northwest,Confirmed,120,12,5
05/11/2020,Northwest,Probable,8,0,1
05/11/2020,Southwest,Confirmed,19,2,2
05/11/2020,Southwest,Probable,1,0,0
05/12/2020,Central,Confirmed,218,9,1
05/12/2020,Central,Probable,2,0,1
05/12/2020,Eastern,Confirmed,128,6,4
05/12/2020,Eastern,Probable,3,0,0
05/12/2020,Northern,Confirmed,557,55,15
05/12/2020,Northern,Probable,14,2,0
05/12/2020,Northwest,Confirmed,122,8,1
05/12/2020,Northwest,Probable,16,1,0
05/12/2020,Southwest,Confirmed,46,1,1
05/12/2020,Southwest,Probable,1,0,0
05/13/2020,Central,Confirmed,181,7,6
05/13/2020,Central,Probable,0,0,2
05/13/2020,Eastern,Confirmed,90,7,4
05/13/2020,Northern,Confirmed,563,46,7
05/13/2020,Northern,Probable,20,0,3
05/13/2020,Northwest,Confirmed,119,4,1
05/13/2020,Northwest,Probable,6,0,0
05/13/2020,Southwest,Confirmed,27,2,0
05/13/2020,Southwest,Probable,1,0,0
05/14/2020,Central,Confirmed,149,12,3
05/14/2020,Central,Probable,4,0,0
05/14/2020,Eastern,Confirmed,81,5,3
05/14/2020,Eastern,Probable,5,0,0
05/14/2020,Northern,Confirmed,547,50,12
05/14/2020,Northern,Probable,11,1,4
05/14/2020,Northwest,Confirmed,112,7,0
05/14/2020,Northwest,Probable,3,0,0
05/14/2020,Southwest,Confirmed,37,0,0
05/15/2020,Central,Confirmed,189,10,6
05/15/2020,Central,Probable,2,0,0
05/15/2020,Eastern,Confirmed,61,5,5
05/15/2020,Northern,Confirmed,644,53,14
05/15/2020,Northern,Probable,18,0,0
05/15/2020,Northwest,Confirmed,169,9,3
05/15/2020,Northwest,Probable,15,1,0
05/15/2020,Southwest,Confirmed,40,1,1
05/16/2020,Central,Confirmed,143,5,4
05/16/2020,Central,Probable,2,0,0
05/16/2020,Eastern,Confirmed,74,3,5
05/16/2020,Eastern,Probable,2,0,0
05/16/2020,Northern,Confirmed,454,39,15
05/16/2020,Northern,Probable,13,0,0
05/16/2020,Northwest,Confirmed,142,7,4
05/16/2020,Northwest,Probable,8,0,0
05/16/2020,Southwest,Confirmed,18,3,0
05/16/2020,Southwest,Probable,1,0,0
05/17/2020,Central,Confirmed,117,9,4
05/17/2020,Eastern,Confirmed,45,10,3
05/17/2020,Eastern,Probable,1,0,0
05/17/2020,Northern,Confirmed,377,47,18
05/17/2020,Northern,Probable,12,0,0
05/17/2020,Northwest,Confirmed,102,12,2
05/17/2020,Northwest,Probable,19,0,0
05/17/2020,Southwest,Confirmed,24,3,0
05/17/2020,Southwest,Probable,1,0,0
05/18/2020,Central,Confirmed,255,10,5
05/18/2020,Central,Probable,1,0,0
05/18/2020,Eastern,Confirmed,109,7,2
05/18/2020,Eastern,Probable,7,0,1
